id,brand,model,year,price,mileage,fuel_type,transmission,body_type,engine_cc,horsepower,seats,drive_type,city,condition,rating,fuel_economy,usage,luxury_score,reliability_score
1,Toyota,RAV4 Hybrid,2023,31500,12000,Hybrid,CVT,SUV,2500,219,5,AWD,Dallas,Like New,4.8,40,Family,6,10
2,Toyota,Camry LE,2022,24800,28000,Petrol,Automatic,Sedan,2500,203,5,FWD,Austin,Used,4.7,32,Daily Commute,5,10
3,Toyota,Corolla Hybrid,2023,23000,15000,Hybrid,CVT,Sedan,1800,138,5,FWD,Houston,Like New,4.7,50,Daily Commute,4,10
4,Toyota,Highlander Hybrid,2023,42500,19000,Hybrid,CVT,SUV,2500,243,7,AWD,Denver,Like New,4.8,36,Family,7,9
5,Toyota,Tacoma TRD Off-Road,2022,38500,32000,Petrol,Automatic,Pickup,3500,278,5,4WD,Phoenix,Used,4.6,20,Off-road,5,9
6,Toyota,GR Supra 3.0,2023,54000,8000,Petrol,Automatic,Coupe,3000,382,2,RWD,Los Angeles,Like New,4.7,25,Performance,7,8
7,Toyota,Sienna Platinum Hybrid,2023,49000,14000,Hybrid,CVT,Minivan,2500,245,8,AWD,Chicago,Like New,4.8,36,Family,7,10
8,Toyota,Prius Prime,2023,32500,9500,Hybrid,CVT,Hatchback,2000,220,5,FWD,San Francisco,Like New,4.8,52,Daily Commute,6,10
9,Honda,CR-V Hybrid,2023,33800,14000,Hybrid,CVT,SUV,2000,204,5,AWD,Seattle,Like New,4.8,40,Family,6,10
10,Honda,Civic Sport,2022,23500,22000,Petrol,CVT,Sedan,2000,158,5,FWD,San Diego,Used,4.7,33,Daily Commute,5,9
11,Honda,Accord Hybrid Touring,2023,36500,11000,Hybrid,CVT,Sedan,2000,204,5,FWD,Atlanta,Like New,4.8,46,Business,7,9
12,Honda,Pilot Elite,2023,48500,16000,Petrol,Automatic,SUV,3500,285,8,AWD,Dallas,Like New,4.7,21,Family,7,9
13,Honda,Civic Type R,2023,44500,7000,Petrol,Manual,Hatchback,2000,315,4,FWD,Miami,Like New,4.9,24,Performance,6,9
14,Honda,Odyssey Touring,2022,41000,30000,Petrol,Automatic,Minivan,3500,280,8,FWD,Orlando,Used,4.6,22,Family,6,9
15,BMW,330i xDrive,2023,45000,14000,Petrol,Automatic,Sedan,2000,255,5,AWD,New York,Like New,4.8,28,Luxury,9,7
16,BMW,X5 xDrive40i,2022,58500,24000,Petrol,Automatic,SUV,3000,335,5,AWD,Boston,Used,4.7,23,Luxury,9,7
17,BMW,M4 Competition,2023,79000,9000,Petrol,Automatic,Coupe,3000,503,4,AWD,Las Vegas,Like New,4.9,19,Performance,9,7
18,BMW,i4 eDrive40,2023,53000,11000,Electric,Automatic,Sedan,0,335,5,RWD,San Jose,Like New,4.8,109,Daily Commute,9,8
19,BMW,X3 sDrive30i,2022,39800,26000,Petrol,Automatic,SUV,2000,248,5,RWD,Philadelphia,Used,4.6,25,Daily Commute,8,7
20,BMW,M2 Coupe,2023,63500,6000,Petrol,Manual,Coupe,3000,453,4,RWD,Charlotte,Like New,4.9,19,Performance,8,7
21,Mercedes,C300 4MATIC,2023,46500,13000,Petrol,Automatic,Sedan,2000,255,5,AWD,Miami,Like New,4.7,27,Luxury,9,7
22,Mercedes,GLE 350,2022,54000,29000,Petrol,Automatic,SUV,2000,255,5,AWD,Houston,Used,4.7,22,Luxury,9,7
23,Mercedes,EQE 350+ Sedan,2023,68000,10000,Electric,Automatic,Sedan,0,288,5,RWD,San Francisco,Like New,4.7,96,Business,10,8
24,Mercedes,AMG C43,2023,61000,9500,Petrol,Automatic,Sedan,2000,402,5,AWD,Los Angeles,Like New,4.8,22,Performance,9,7
25,Mercedes,GLA 250,2022,34500,25000,Petrol,Automatic,SUV,2000,221,5,FWD,Tampa,Used,4.5,28,Daily Commute,8,7
26,Audi,A4 45 TFSI quattro,2023,43500,16000,Petrol,Automatic,Sedan,2000,261,5,AWD,Chicago,Like New,4.7,27,Luxury,9,7
27,Audi,Q5 45 TFSI,2022,41500,27000,Petrol,Automatic,SUV,2000,261,5,AWD,Denver,Used,4.6,25,Family,8,7
28,Audi,e-tron GT,2023,86000,8000,Electric,Automatic,Sedan,0,522,4,AWD,Seattle,Like New,4.9,82,Performance,10,8
29,Audi,RS5 Sportback,2023,76500,11000,Petrol,Automatic,Hatchback,2900,444,5,AWD,Scottsdale,Like New,4.8,21,Performance,9,7
30,Audi,Q7 55 TFSI,2022,55000,31000,Petrol,Automatic,SUV,3000,335,7,AWD,Minneapolis,Used,4.7,20,Family,9,7
31,Hyundai,Tucson Hybrid,2023,32000,14000,Hybrid,Automatic,SUV,1600,226,5,AWD,Dallas,Like New,4.7,38,Family,6,8
32,Hyundai,Elantra Hybrid,2022,22500,25000,Hybrid,Automatic,Sedan,1600,139,5,FWD,San Antonio,Used,4.6,52,Daily Commute,5,8
33,Hyundai,IONIQ 5 Long Range,2023,43000,12000,Electric,Automatic,SUV,0,320,5,AWD,Portland,Like New,4.8,110,Daily Commute,7,8
34,Hyundai,Palisade Calligraphy,2023,47500,18000,Petrol,Automatic,SUV,3800,291,7,AWD,Nashville,Like New,4.8,21,Family,8,8
35,Kia,Sportage Hybrid,2023,31000,15000,Hybrid,Automatic,SUV,1600,227,5,AWD,Raleigh,Like New,4.7,38,Family,6,8
36,Kia,EV6 Wind AWD,2023,44500,13000,Electric,Automatic,SUV,0,320,5,AWD,Austin,Like New,4.8,105,Daily Commute,7,8
37,Kia,Telluride SX Prestige,2023,49500,19000,Petrol,Automatic,SUV,3800,291,8,AWD,Indianapolis,Like New,4.9,21,Family,8,8
38,Kia,Forte GT,2022,20500,27000,Petrol,Manual,Sedan,1600,201,5,FWD,Columbus,Used,4.5,30,Daily Commute,4,8
39,Ford,F-150 Lariat SuperCrew,2022,51000,33000,Petrol,Automatic,Pickup,3500,400,5,4WD,Fort Worth,Used,4.7,20,Off-road,7,8
40,Ford,Mustang GT Premium,2023,44000,11000,Petrol,Manual,Coupe,5000,450,4,RWD,Detroit,Like New,4.8,18,Performance,6,8
41,Ford,Mustang Mach-E Premium,2023,46000,14000,Electric,Automatic,SUV,0,346,5,AWD,San Diego,Like New,4.7,93,Daily Commute,7,8
42,Ford,Explorer Limited,2022,38000,28000,Petrol,Automatic,SUV,2300,300,7,AWD,Kansas City,Used,4.5,23,Family,6,7
43,Ford,Maverick Hybrid,2023,27000,16000,Hybrid,CVT,Pickup,2500,191,5,FWD,Salt Lake City,Like New,4.8,37,Daily Commute,4,8
44,Ford,Bronco Badlands,2023,52500,15000,Petrol,Automatic,SUV,2700,330,5,4WD,Boise,Like New,4.8,17,Off-road,6,7
45,Tesla,Model 3 Long Range,2023,39500,15000,Electric,Automatic,Sedan,0,358,5,AWD,San Francisco,Like New,4.8,131,Daily Commute,8,8
46,Tesla,Model Y Long Range,2023,44000,17000,Electric,Automatic,SUV,0,384,5,AWD,Los Angeles,Like New,4.8,122,Family,8,8
47,Tesla,Model S Plaid,2023,89000,10000,Electric,Automatic,Sedan,0,1020,5,AWD,Miami,Like New,4.9,116,Performance,9,8
48,Tesla,Model X Long Range,2022,74000,22000,Electric,Automatic,SUV,0,670,7,AWD,Seattle,Used,4.7,102,Luxury,9,7
49,Lexus,RX 350 Premium,2023,51500,14000,Petrol,Automatic,SUV,2400,275,5,AWD,Dallas,Like New,4.9,24,Luxury,9,10
50,Lexus,NX 350h Luxury,2023,47000,12000,Hybrid,CVT,SUV,2500,240,5,AWD,Phoenix,Like New,4.9,39,Family,9,10
51,Lexus,ES 300h Ultra Luxury,2023,46000,16000,Hybrid,CVT,Sedan,2500,215,5,FWD,Atlanta,Like New,4.9,44,Business,9,10
52,Lexus,LC 500 Convertible,2022,94000,9000,Petrol,Automatic,Convertible,5000,471,4,RWD,Beverly Hills,Like New,4.9,18,Luxury,10,9
53,Lexus,GX 460 Luxury,2022,56000,28000,Petrol,Automatic,SUV,4600,301,7,4WD,Houston,Used,4.8,16,Off-road,9,10
