scenario,rank,car_id,brand,model,year,price,fuel_type,body_type,compatibility_score,primary_reason
Scenario 1: Eco-Friendly Family Hybrid SUV,1,35,Kia,Sportage Hybrid,2023,31000.0,Hybrid,SUV,100.0,"Comfortably within budget at $31,000.0 (Max: $45,000)"
Scenario 1: Eco-Friendly Family Hybrid SUV,2,31,Hyundai,Tucson Hybrid,2023,32000.0,Hybrid,SUV,100.0,"Comfortably within budget at $32,000.0 (Max: $45,000)"
Scenario 1: Eco-Friendly Family Hybrid SUV,3,105,Hyundai,Santa Fe Hybrid,2023,38000.0,Hybrid,SUV,100.0,"Comfortably within budget at $38,000.0 (Max: $45,000)"
Scenario 1: Eco-Friendly Family Hybrid SUV,4,150,Kia,Niro Hybrid LX Plus,2022,26781.0,Hybrid,SUV,99.8,"Comfortably within budget at $26,781.0 (Max: $45,000)"
Scenario 1: Eco-Friendly Family Hybrid SUV,5,60,Suzuki,Vitara Hybrid,2023,26000.0,Hybrid,SUV,99.7,"Comfortably within budget at $26,000.0 (Max: $45,000)"
Scenario 2: Executive Luxury Cruiser,1,21,Mercedes,C300 4MATIC,2023,46500.0,Petrol,Sedan,100.0,"Comfortably within budget at $46,500.0 (Max: $95,000)"
Scenario 2: Executive Luxury Cruiser,2,87,Mercedes,E350 4MATIC,2023,58000.0,Petrol,Sedan,100.0,"Comfortably within budget at $58,000.0 (Max: $95,000)"
Scenario 2: Executive Luxury Cruiser,3,24,Mercedes,AMG C43,2023,61000.0,Petrol,Sedan,100.0,"Comfortably within budget at $61,000.0 (Max: $95,000)"
Scenario 2: Executive Luxury Cruiser,4,23,Mercedes,EQE 350+ Sedan,2023,68000.0,Electric,Sedan,100.0,"Comfortably within budget at $68,000.0 (Max: $95,000)"
Scenario 2: Executive Luxury Cruiser,5,89,Mercedes,S580 4MATIC,2022,108000.0,Petrol,Sedan,92.8,Exact match for preferred Sedan body style
Scenario 3: Budget Daily Commuter,1,170,Nissan,Versa SR Special,2021,16815.0,Petrol,Sedan,100.0,"Comfortably within budget at $16,815.0 (Max: $26,000)"
Scenario 3: Budget Daily Commuter,2,185,Hyundai,Elantra SEL Special,2022,18645.0,Petrol,Sedan,100.0,"Comfortably within budget at $18,645.0 (Max: $26,000)"
Scenario 3: Budget Daily Commuter,3,143,Hyundai,Elantra SEL Plus,2024,18679.0,Petrol,Sedan,100.0,"Comfortably within budget at $18,679.0 (Max: $26,000)"
Scenario 3: Budget Daily Commuter,4,124,Nissan,Sentra SR,2022,19500.0,Petrol,Sedan,100.0,"Comfortably within budget at $19,500.0 (Max: $26,000)"
Scenario 3: Budget Daily Commuter,5,184,Toyota,Corolla LE Special,2021,19914.0,Petrol,Sedan,100.0,"Comfortably within budget at $19,914.0 (Max: $26,000)"
Scenario 4: High-Performance Sports Coupe,1,40,Ford,Mustang GT Premium,2023,44000.0,Petrol,Coupe,100.0,"Comfortably within budget at $44,000.0 (Max: $90,000)"
Scenario 4: High-Performance Sports Coupe,2,157,Chevrolet,Camaro SS 1LE Special,2022,44877.0,Petrol,Coupe,100.0,"Comfortably within budget at $44,877.0 (Max: $90,000)"
Scenario 4: High-Performance Sports Coupe,3,56,Nissan,Z Performance,2023,49000.0,Petrol,Coupe,100.0,"Comfortably within budget at $49,000.0 (Max: $90,000)"
Scenario 4: High-Performance Sports Coupe,4,167,BMW,M240i xDrive Plus,2024,51776.0,Petrol,Coupe,100.0,"Comfortably within budget at $51,776.0 (Max: $90,000)"
Scenario 4: High-Performance Sports Coupe,5,154,BMW,M240i xDrive Plus,2023,52218.0,Petrol,Coupe,100.0,"Comfortably within budget at $52,218.0 (Max: $90,000)"
Scenario 5: 7-Passenger Reliable Road-Tripper,1,180,Ford,Explorer XLT Plus,2023,36301.0,Petrol,SUV,100.0,"Comfortably within budget at $36,301.0 (Max: $55,000)"
Scenario 5: 7-Passenger Reliable Road-Tripper,2,42,Ford,Explorer Limited,2022,38000.0,Petrol,SUV,100.0,"Comfortably within budget at $38,000.0 (Max: $55,000)"
Scenario 5: 7-Passenger Reliable Road-Tripper,3,4,Toyota,Highlander Hybrid,2023,42500.0,Hybrid,SUV,100.0,"Comfortably within budget at $42,500.0 (Max: $55,000)"
Scenario 5: 7-Passenger Reliable Road-Tripper,4,121,Nissan,Pathfinder Platinum,2023,47000.0,Petrol,SUV,100.0,"Comfortably within budget at $47,000.0 (Max: $55,000)"
Scenario 5: 7-Passenger Reliable Road-Tripper,5,34,Hyundai,Palisade Calligraphy,2023,47500.0,Petrol,SUV,100.0,"Comfortably within budget at $47,500.0 (Max: $55,000)"
